Alice Apple,alice.apple@mail.mcgill.ca,EE,1
Bob Bill,bob.bill2@mail.mcgill.ca,EE,2
Cathy Cat,cathy.cat@mail.mcgill.ca,EE,2
Donald Duck,donald.duck@mail.mcgill.ca,EE,1
Emily Emoji,emily.emoji@mail.mcgill.ca,SE,2
Fang Feng,fang.feng2@mail.mcgill.ca,EE,2
Gary Google,gary.google@mail.mcgill.ca,EE,3
Harry Happy,harry.happy@mail.mcgill.ca,EE,1
Ian Ion,ian.ion@mail.mcgill.ca,EE,3
Jen Johnson,jen.johnson@mail.mcgill.ca,CE,2
Ke Koa,ke.koa@mail.mcgill.ca,EE,1,SE,2
Lilly Lemon,lilly.lemon@mail.mcgill.ca,EE,2
Mathieu Martin-Côté,mathieu.martin-cote@mail.mcgill.ca,EE,1
Nancy Narwhal,nancy.narwahl@mail.mcgill.ca,CE,3
Olivier O'Connor,olivier.oconnor@mail.mcgill.ca,CE,1
Please Pull,please.pull@mail.mcgill.ca,EE,2
Queen Québécoise,queen.quebecoise@mail.mcgill.ca,EE,1
Richard Reilly,richard.reilly@mail.mcgill.ca,EE,2
Stuart Smith,stuart.smith@mail.mcgill.ca,SE,2
Thomas Trudeau,thomas.trudeau@mail.mcgill.ca,EE,1
Unity Utica,unity.utica@mail.mcgill.ca,EE,1
Veronica de la Vérendrye-Noisette,veronica.delaverendrye-noisette@mail.mcgill.ca,SE,1
Walter Wall,walter.wall@mail.mcgill.ca,SE,3
Xavier Xylophone,xavier.xylophone@mail.mcgill.ca,EE,1
Yi Yang,yi.yang4@mail.mcgill.ca,SE,3
Zoë Zeller,zoe.zeller@mail.mcgill.ca,CE,2
